Household_Id,date,month,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min,Usage_Type,Acorn,Acorn_grouped,file,Score,Anomaly,Average_Energy_That_Day,Anomaly Class
MAC003597,01/10/2013,Oct,0.5845,0.75141666,2.306,48,0.502613959,36.07,0.302,Fixed,ACORN-A,Affluent,block_0,-0.045126819,-1,13.66,Over
MAC000246,30/10/2013,Oct,0.3855,0.75122916,2.339,48,0.767992962,36.06,0.02,Fixed,ACORN-A,Affluent,block_0,-0.045126819,-1,13.14,Over
MAC003817,28/11/2013,Nov,0.703,0.751312504,1.775,48,0.375536679,36.06,0.071,Fixed,ACORN-A,Affluent,block_0,-0.045126819,-1,13.38,Over
MAC000103,28/02/2013,Feb,0.651,0.751229167,1.83,48,0.356449704,36.06,0.365,Fixed,ACORN-A,Affluent,block_2,-0.045126819,-1,13.12,Over
MAC003856,03/03/2013,Mar,0.5445,0.750958335,3.267,48,0.637390524,36.05,0.191,Fixed,ACORN-A,Affluent,block_0,-0.045126819,-1,13.86,Over
MAC003634,13/04/2013,Apr,0.6765,0.751125,1.735,48,0.216521791,36.05,0.583,Dynamic,ACORN-A,Affluent,block_2,-0.045126819,-1,13.05,Over
MAC003422,12/10/2013,Oct,0.747,0.750791667,0.827,48,0.028256393,36.04,0.705,Fixed,ACORN-A,Affluent,block_0,-0.045126819,-1,13.91,Over
MAC001836,14/05/2013,May,0.5715,0.750812502,2.6760001,48,0.519028464,36.04,0.17,Fixed,ACORN-A,Affluent,block_2,-0.045126819,-1,12.11,Over
MAC002959,18/01/2013,Jan,0.625,0.750708333,1.732,48,0.300770497,36.03,0.435,Dynamic,ACORN-A,Affluent,block_2,-0.045126819,-1,14.22,Over
MAC003597,02/11/2013,Nov,0.7985,0.750708333,1.558,48,0.289881924,36.03,0.401,Fixed,ACORN-A,Affluent,block_0,-0.045126819,-1,13.92,Over
MAC000040,10/02/2013,Feb,0.713,0.750583335,2.0539999,48,0.355198051,36.03,0.349,Fixed,ACORN-A,Affluent,block_2,-0.045126819,-1,12.16,Over
MAC004054,02/12/2013,Dec,0.6155,0.750416669,2.158,48,0.489802649,36.02,0.185,Dynamic,ACORN-A,Affluent,block_2,-0.045126819,-1,13.25,Over
MAC001510,02/12/2013,Dec,0.667,0.750374994,2.1960001,48,0.555170302,36.02,0.124,Fixed,ACORN-A,Affluent,block_1,-0.045126819,-1,13.25,Over
MAC000535,12/01/2013,Jan,0.2275,0.750520825,2.4319999,48,0.896810456,36.02,0.15,Fixed,ACORN-A,Affluent,block_1,-0.045126819,-1,14.5,Over
MAC003668,13/08/2013,Aug,0.582,0.750479171,2.5780001,48,0.543202684,36.02,0.195,Fixed,ACORN-A,Affluent,block_0,-0.045126819,-1,10.83,Over
MAC003235,22/03/2013,Mar,0.6945,0.750458331,1.998,48,0.493729483,36.02,0.106,Fixed,ACORN-C,Affluent,block_5,-0.045126819,-1,13.35,Over
MAC001664,13/01/2013,Jan,0.59,0.750291669,1.997,48,0.603245232,36.01,0.107,Fixed,ACORN-C,Affluent,block_4,-0.045126819,-1,14.08,Over
MAC001710,02/03/2013,Mar,0.709,0.750270831,1.137,48,0.161454257,36.01,0.479,Fixed,ACORN-A,Affluent,block_1,-0.045126819,-1,14.16,Over
MAC003597,16/12/2013,Dec,0.578,0.750229167,2.411,48,0.565992079,36.01,0.244,Fixed,ACORN-A,Affluent,block_0,-0.045126819,-1,13.98,Over
MAC003668,03/02/2013,Feb,0.686,0.750104167,1.823,48,0.509333617,36.01,0.204,Fixed,ACORN-A,Affluent,block_0,-0.045126819,-1,13.28,Over
MAC004504,15/01/2013,Jan,0.6115,0.750270831,2.6029999,48,0.422547424,36.01,0.401,Fixed,ACORN-C,Affluent,block_5,-0.045126819,-1,13.63,Over
MAC003668,10/05/2013,May,0.46,0.750041671,2.0050001,48,0.601248954,36,0.19,Fixed,ACORN-A,Affluent,block_0,-0.045126819,-1,12.38,Over
MAC003634,28/03/2013,Mar,0.664,0.75,1.711,48,0.239564676,36,0.585,Dynamic,ACORN-A,Affluent,block_2,-0.045126819,-1,13.5,Over
MAC001893,13/01/2013,Jan,0.666,0.74977084,2.8210001,48,0.575572484,35.99,0.205,Fixed,ACORN-A,Affluent,block_1,-0.045126819,-1,14.08,Over
MAC001893,24/01/2013,Jan,0.7085,0.74975,2.7609999,48,0.49325499,35.99,0.268,Fixed,ACORN-A,Affluent,block_1,-0.045126819,-1,13.67,Over
MAC003566,10/07/2013,Jul,0.54,0.749749998,2.0769999,48,0.502782444,35.99,0.231,Fixed,ACORN-A,Affluent,block_0,-0.045126819,-1,12.64,Over
MAC001510,11/12/2013,Dec,0.4985,0.749458333,2.3859999,48,0.666672389,35.97,0.075,Fixed,ACORN-A,Affluent,block_1,-0.045126819,-1,13.19,Over
MAC003278,26/12/2013,Dec,0.547,0.749270835,2.5109999,48,0.492143325,35.97,0.366,Fixed,ACORN-C,Affluent,block_5,-0.045126819,-1,13.68,Over
MAC003634,21/12/2013,Dec,0.634,0.749333331,1.314,48,0.220744994,35.97,0.583,Dynamic,ACORN-A,Affluent,block_2,-0.045126819,-1,14.28,Over
MAC001689,24/03/2013,Mar,0.724,0.7493125,1.864,48,0.51840919,35.97,0.103,Fixed,ACORN-A,Affluent,block_1,-0.045126819,-1,13.74,Over
MAC000246,04/07/2013,Jul,0.444,0.749416654,3.1459999,48,0.823397731,35.97,0.041,Fixed,ACORN-A,Affluent,block_0,-0.045126819,-1,12.77,Over
MAC003388,31/10/2013,Oct,0.308,0.749333333,2.418,48,0.689656788,35.97,0.083,Fixed,ACORN-A,Affluent,block_0,-0.045126819,-1,13.43,Over
MAC004504,18/07/2013,Jul,0.553,0.749125002,1.676,48,0.346284084,35.96,0.343,Fixed,ACORN-C,Affluent,block_5,-0.045126819,-1,10.73,Over
MAC000379,28/02/2013,Feb,0.619,0.749229162,2.0369999,48,0.48843576,35.96,0.173,Fixed,ACORN-A,Affluent,block_1,-0.045126819,-1,13.12,Over
MAC003428,03/09/2013,Sep,0.571,0.749062498,3.1289999,48,0.67658895,35.95,0.109,Fixed,ACORN-A,Affluent,block_0,-0.045126819,-1,13.62,Over
